STK_601,9251533.565,786093.529,585.279,TN
STK_718,9251530.352,786100.744,586.159,TN
STK_717,9251526.023,786091.764,585.525,TN
STK_600,9251529.280,786084.490,584.981,TN
STK_481,9251532.481,786077.297,584.607,TN
STK_361,9251535.695,786070.053,582.589,TN
STK_113,9251539.983,786067.391,582.041,TN
STK_360,9251531.416,786060.979,581.618,TN
STK_480,9251528.180,786068.233,582.571,TN
STK_599,9251524.892,786075.503,584.240,Rocha
STK_716,9251521.775,786082.642,585.207,TN
STK_715,9251517.451,786073.616,583.911,TN
STK_598,9251520.734,786066.388,582.633,TN
STK_479,9251523.961,786059.237,581.702,TN
STK_359,9251527.118,786052.713,580.736,TN
STK_358,9251522.972,786043.102,579.609,TN
STK_478,9251519.536,786050.190,580.719,TN
STK_597,9251516.386,786057.411,581.696,TN
STK_714,9251513.112,786064.595,582.575,TN
STK_713,9251508.951,786055.579,581.157,TN
STK_596,9251512.133,786048.353,580.551,TN
STK_477,9251515.300,786041.104,579.781,TN
STK_356,9251514.207,786024.894,576.796,TN
STK_476,9251510.972,786032.097,578.270,TN
STK_595,9251507.724,786038.648,579.357,TN
STK_712,9251504.555,786046.539,580.674,TN
STK_711,9251500.352,786037.529,579.434,TN
STK_594,9251503.476,786030.291,578.721,2024_07_12_-_SDP_19_-_AÇUDE_3_ST
STK_475,9251506.763,786023.118,576.586,TN
STK_355,9251509.975,786015.843,576.148,TN
STK_354,9251505.660,786006.763,576.458,TN
STK_474,9251502.480,786014.059,576.009,2024_07_12_-_SDP_19_-_AÇUDE_2_ST
STK_593,9251499.237,786021.244,576.399,TN
STK_710,9251495.985,786028.473,578.468,TN
STK_709,9251491.714,786019.532,576.288,TN
STK_592,9251494.908,786012.314,576.431,TN
STK_473,9251498.209,786005.021,575.895,TN
STK_353,9251501.329,785997.781,576.718,TN
STK_352,9251497.008,785988.786,576.754,TN
STK_472,9251493.833,785995.977,576.357,TN
STK_591,9251490.661,786003.204,575.617,TN
STK_708,9251487.450,786010.459,576.427,TN
STK_707,9251483.194,786001.367,576.205,TN
STK_590,9251486.349,785994.247,576.208,TN
STK_471,9251489.632,785986.957,576.342,TN
STK_351,9251492.757,785979.800,576.606,2024_07_12_-_SDP_19_-_AÇUDE_1_ST
STK_350,9251488.473,785970.653,576.550,TN
STK_589,9251482.011,785985.111,576.107,TN
STK_706,9251478.818,785992.367,575.617,TN
STK_705,9251474.578,785983.406,576.031,TN
STK_588,9251477.773,785976.128,576.182,TN
STK_469,9251481.023,785968.913,576.411,TN
STK_349,9251484.145,785961.646,576.636,TN
STK_348,9251479.946,785952.616,576.994,TN
STK_468,9251476.683,785959.843,576.649,TN
STK_587,9251473.501,785967.113,576.356,TN
STK_704,9251470.251,785974.233,576.022,TN
STK_703,9251466.026,785965.275,576.331,TN
STK_586,9251469.235,785958.071,576.629,TN
STK_467,9251472.417,785950.823,576.889,TN
STK_347,9251475.616,785943.552,577.118,TN
STK_346,9251471.331,785934.515,577.197,TN
STK_466,9251468.128,785941.791,576.955,TN
STK_585,9251464.901,785949.002,576.826,TN
STK_702,9251461.666,785956.260,576.540,TN
STK_701,9251457.449,785947.236,576.551,TN
STK_584,9251460.586,785939.962,576.844,TN
STK_465,9251463.782,785932.750,577.216,TN
STK_345,9251467.019,785925.540,577.533,TN
STK_344,9251462.784,785916.497,577.797,TN
STK_464,9251459.518,785923.750,577.377,TN
STK_583,9251456.320,785930.960,576.999,TN
STK_700,9251453.097,785938.126,576.727,TN
STK_699,9251448.818,785929.173,576.760,TN
STK_582,9251452.068,785921.886,577.139,TN
STK_463,9251455.218,785914.687,577.562,TN
STK_343,9251458.417,785907.463,578.100,TN
STK_342,9251454.164,785898.394,579.016,TN
STK_462,9251450.903,785905.665,578.152,TN
STK_581,9251447.758,785912.914,577.434,TN
STK_698,9251444.457,785919.583,577.023,TN
STK_697,9251440.167,785911.057,577.414,TN
STK_580,9251443.423,785903.892,578.038,TN
STK_461,9251446.670,785896.681,578.684,TN
STK_341,9251449.875,785889.368,579.486,TN
STK_340,9251445.550,785880.325,580.201,TN
STK_460,9251442.428,785887.640,579.598,TN
STK_579,9251439.173,785894.815,578.956,TN
STK_696,9251435.915,785902.036,578.128,TN
STK_695,9251431.669,785892.946,578.740,TN
STK_31,9251439.754,785882.072,579.880,TN
STK_23,9251444.686,785878.579,580.386,TN
STK_155,9251420.988,785887.168,578.723,TN
STK_156,9251413.902,785880.057,578.874,TN
STK_157,9251406.941,785872.941,579.183,TN
STK_158,9251399.873,785865.803,579.429,TN
STK_159,9251392.861,785858.693,579.690,TN
STK_12,9251386.836,785852.560,579.680,TN
STK_161,9251376.517,785847.752,579.437,TN
STK_162,9251367.466,785843.595,578.996,TN
STK_163,9251358.345,785839.379,578.587,TN
